RPM,Torque [ft-lb],Power [hp]
5698.0287072043275,23.206761314303776,25.644622194602107
5698.907355984987,23.207632161304637,25.65041543135289
5699.786004765646,23.20846891228383,25.65620372269618
5700.664653546304,23.209273175627406,25.66198606315829
5701.543302326963,23.21004655972143,25.667761447265555
5702.421951107623,23.21079067295197,25.673528869544274
5703.300599888282,23.211507123705083,25.679287324520768
5704.17924866894,23.212197520366836,25.68503580672135
5705.057897449599,23.212863471323285,25.69077331067234
5705.9365462302585,23.21350658496049,25.69649883090006
5706.815195010917,23.214128469664526,25.702211361930814
5707.693843791576,23.214730733821447,25.707909898290932
5708.572492572235,23.215314985817315,25.713593434506723
5709.4511413528935,23.21588283403819,25.7192609651045
5710.329790133553,23.216435886870133,25.724911484610587
5711.208438914212,23.216975752699216,25.730543987551297
5712.087087694871,23.217504039911496,25.736157468452944
5712.965736475529,23.21802235689303,25.741750921841845
5713.844385256189,23.218532312029886,25.74732334224432
5714.723034036848,23.21903551370812,25.752873724186685
5715.601682817506,23.219533544211036,25.75840106219525
5716.480331598165,23.2200274859768,25.76390435079634
5717.3589803788245,23.220517971784275,25.76938258451627
5718.237629159483,23.221005618381973,25.774834757881347
5719.116277940142,23.221491042518405,25.7802598654179
5719.994926720801,23.221974860942073,25.785656901652242
5720.87357550146,23.22245769040149,25.791024861110678
5721.752224282119,23.222940147645165,25.79636273831954
5722.630873062778,23.223422849421596,25.801669527805135
5723.509521843437,23.2239064124793,25.806944224093783
5724.388170624095,23.224391453566785,25.812185821711797
5725.266819404755,23.22487858943256,25.817393315185498
5726.145468185414,23.225368436825125,25.822565699041203
5727.024116966073,23.225861612492995,25.827701967805226
5727.902765746731,23.226358733184675,25.832801116003875
5728.781414527391,23.226860415648677,25.837862138163484
5729.66006330805,23.227367276633505,25.842884028810353
5730.538712088708,23.227879932887667,25.847865782470805
5731.417360869367,23.228399001159673,25.85280639367116
5732.2960096500265,23.228925098198033,25.857704856937733
5733.174658430685,23.22945884075125,25.86256016679683
5734.053307211344,23.23000084556783,25.867371317774783
5734.931955992003,23.230551729396293,25.8721373043979
5735.810604772662,23.231112108985137,25.876857121192504
5736.689253553321,23.231682601082873,25.881529762684895
5737.56790233398,23.232263822438004,25.886154223401405
5738.446551114639,23.23285638979905,25.890729497868346
5739.325199895297,23.233460919914506,25.895254580612033
5740.203848675957,23.23407802953289,25.89972846615878
5741.082497456616,23.234708335402704,25.904150149034912
5741.961146237274,23.235352454272455,25.90851862376674
5742.839795017933,23.236011002890656,25.91283288488058
5743.7184437985925,23.236684598005812,25.917091926902746
5744.597092579252,23.237373856366432,25.921294744359564
5745.47574135991,23.238079394721023,25.925440331777338
5746.354390140569,23.238801829818097,25.92952768368239
5747.233038921228,23.239541778406156,25.933555794601038
5748.111687701887,23.24029985723371,25.937523659059597
5748.990336482546,23.241076683049272,25.94143027158438
5749.868985263205,23.24187287260134,25.94527462670171
5750.747634043864,23.242689042638432,25.949055718937903
5751.626282824523,23.24352580990905,25.95277265351269
5752.504931605182,23.244383791161706,25.956426227930777
5753.383580385841,23.245263603144906,25.960018561073618
5754.262229166499,23.246165862607157,25.963551806908146
5755.1408779471585,23.247091186296966,25.967028119401306
5756.019526727818,23.248040190962847,25.97044965252004
5756.898175508476,23.249013493353303,25.973818560231276
5757.776824289135,23.250011710216846,25.977136996501976
5758.655473069794,23.251035458301978,25.98040711529906
5759.534121850454,23.25208535435721,25.983631070589478
5760.412770631112,23.25316201513105,25.98681101634017
5761.291419411771,23.254266057372003,25.989949106518072
5762.17006819243,23.255398097828586,25.993047495090128
5763.048716973089,23.256558753249298,25.99610833602328
5763.927365753748,23.257748640382655,25.999133783284464
5764.806014534407,23.258968375977158,26.002125990840625
5765.684663315065,23.260218576781313,26.005087112658696
5766.5633120957245,23.261499859543637,26.008019302705623
5767.441960876384,23.262812841012632,26.01092471494835
5768.320609657043,23.26415813793681,26.01380550335381
5769.199258437701,23.265536367064673,26.016663821888944
5770.07790721836,23.266948145144735,26.019501824520695
5770.95655599902,23.2683940889255,26.022321665216005
5771.835204779678,23.26987481515548,26.025125497941804
5772.713853560337,23.271390940583178,26.02791547666505
5773.592502340996,23.272943081957106,26.03069375535267
5774.471151121656,23.27453185602577,26.033462487971608
5775.349799902314,23.276157879537678,26.036223828488804
5776.228448682973,23.277821769241342,26.0389799308712
5777.107097463632,23.279524141885265,26.04173294908573
5777.985746244291,23.281265614217954,26.044485037099342
5778.86439502495,23.283046802987926,26.047238348878977
5779.743043805609,23.28486832494368,26.049995038391568
5780.621692586267,23.286730796833723,26.05275725960406
5781.5003413669265,23.288634835406572,26.055527166483394
5782.378990147586,23.290581057410726,26.058306912996507
5783.257638928245,23.2925700795947,26.061098653110342
5784.136287708903,23.294602518706995,26.063904540791835
5785.014936489562,23.29667899149613,26.066726730007932
5785.893585270222,23.298800114710602,26.069567374725576
5786.77223405088,23.30096650509892,26.072428628911698
5787.650882831539,23.3031787794096,26.07531264653324
5788.529531612198,23.305437554391144,26.078221581557155
5789.408180392857,23.30774344679206,26.08115758795036
5790.286829173516,23.310097073360854,26.08412281967982
5791.165477954175,23.312499050846043,26.08711943071246
5792.044126734834,23.31494999599613,26.09014957501523
5792.9227755154925,23.317450525559618,26.093215406555053
5793.801424296152,23.32000125628502,26.096319079298887
5794.680073076811,23.322602804920848,26.099462747213668
5795.558721857469,23.325255788215603,26.10264856426633
5796.437370638128,23.32796082291779,26.10587868442382
5797.316019418788,23.330718525775932,26.109155261653083
5798.194668199447,23.33352951353852,26.11248044992105
5799.073316980105,23.33639440295407,26.11585640319466
5799.951965760764,23.339313810771092,26.11928527544086
5800.8306145414235,23.342288353738088,26.122769220626584
5801.709263322082,23.345318648603573,26.12631039271878
5802.587912102741,23.34840531211605,26.129910945684383
5803.4665608834,23.35154896102403,26.133573033490336
5804.3452096640585,23.354750212076016,26.137298810103577
5805.223858444718,23.358009682020523,26.141090429491047
5806.102507225377,23.361327987606057,26.144950045619687
5806.981156006036,23.364705745581123,26.14887981245644
5807.859804786694,23.36814357269423,26.152881883968238
5808.738453567354,23.371642085544273,26.156958414122027
5809.617102348013,23.37520154668652,26.161111556884755
5810.495751128671,23.378821106568545,26.165343466223348
5811.37439990933,23.382499697843365,26.16965629610475
5812.25304868999,23.386236253163975,26.17405220049591
5813.131697470649,23.390029705183384,26.17853333336376
5814.010346251307,23.393878986554597,26.18310184867524
5814.888995031966,23.39778302993063,26.187759900397296
5815.7676438126255,23.401740767964473,26.19250964249687
5816.646292593284,23.405751133309145,26.197353228940887
5817.524941373943,23.40981305861765,26.202292813696307
5818.403590154602,23.413925476542996,26.20733055073006
5819.2822389352605,23.418087319738184,26.21246859400908
5820.16088771592,23.422297520856223,26.21770909750032
5821.039536496579,23.426555012550125,26.223054215170716
5821.918185277238,23.430858727472888,26.22850610098721
5822.796834057896,23.43520759827752,26.234066908916738
5823.675482838556,23.43960055761703,26.23973855980182
