radius_of_curvature_m,x,y
-129.831798,-24.887738,-32.744015
-101.918802,-24.941943,-32.826856
-87.087971,-24.996343,-32.909819
-80.117427,-25.050995,-32.992962
-72.105653,-25.105926,-33.076302
-70.738296,-25.160993,-33.159599
-70.934621,-25.216229,-33.242899
-75.331634,-25.271659,-33.326238
-78.291231,-25.327294,-33.409643
-90.034762,-25.383058,-33.493013
-112.127847,-25.438920,-33.576330
-162.183631,-25.494856,-33.659600
-305.615704,-25.550833,-33.742819
-6168.543616,-25.606824,-33.826000
327.487392,-25.662795,-33.909148
157.691108,-25.718696,-33.992249
99.573541,-25.774475,-34.075282
70.104735,-25.830115,-34.158290
56.417231,-25.885605,-34.241328
47.723693,-25.940885,-34.324369
41.171629,-25.995898,-34.407383
35.834783,-26.050637,-34.490421
33.080910,-26.105119,-34.573565
30.892714,-26.159296,-34.656789
28.808443,-26.213127,-34.740065
27.423897,-26.266619,-34.823441
26.596247,-26.319787,-34.906974
26.155669,-26.372604,-34.990640
25.729805,-26.425050,-35.074418
26.276925,-26.477141,-35.158340
26.875558,-26.528912,-35.242449
28.068329,-26.580370,-35.326740
29.515083,-26.631530,-35.411210
31.128428,-26.682411,-35.495856
33.082830,-26.733033,-35.580679
35.386645,-26.783419,-35.665683
38.342574,-26.833592,-35.750869
41.161847,-26.883576,-35.836237
45.139263,-26.933376,-35.921761
50.687944,-26.983008,-36.007427
58.308384,-27.032508,-36.093251
67.447437,-27.081914,-36.179250
80.813661,-27.131233,-36.265391
102.920799,-27.180464,-36.351622
131.677917,-27.229654,-36.437978
167.688237,-27.278840,-36.524478
234.655355,-27.328016,-36.611081
430.312309,-27.377163,-36.697718
1966.085330,-27.426319,-36.784419
-768.867363,-27.475513,-36.871196
-318.796910,-27.524739,-36.958003
-204.908260,-27.574000,-37.044807
-153.047917,-27.623320,-37.131620
-121.761188,-27.672722,-37.218443
-102.533029,-27.722199,-37.305234
-89.187916,-27.771763,-37.391982
-79.602342,-27.821428,-37.478680
-70.502650,-27.871205,-37.565319
-61.330822,-27.921106,-37.651890
-54.625523,-27.971145,-37.738375
-50.857230,-28.021340,-37.824766
-49.227410,-28.071708,-37.911066
-48.796982,-28.122252,-37.997266
-49.705702,-28.172972,-38.083366
-52.087184,-28.223870,-38.169372
-56.845819,-28.274940,-38.255294
-64.185898,-28.326162,-38.341131
-77.198560,-28.377525,-38.426902
-101.525436,-28.429011,-38.512627
-162.097939,-28.480589,-38.598315
-514.826585,-28.532227,-38.683986
309.728564,-28.583895,-38.769672
108.754407,-28.635550,-38.855402
65.402583,-28.687132,-38.941189
46.869934,-28.738588,-39.027064
36.493704,-28.789870,-39.113064
30.219203,-28.840921,-39.199214
25.591586,-28.891681,-39.285522
22.230709,-28.942096,-39.372018
19.635497,-28.992116,-39.458731
17.657441,-29.041684,-39.545681
15.973705,-29.090743,-39.632884
14.606800,-29.139239,-39.720362
13.442330,-29.187119,-39.808141
12.523858,-29.234330,-39.896246
11.861522,-29.280822,-39.984693
11.439858,-29.326551,-40.073490
11.049853,-29.371488,-40.162656
10.758874,-29.415611,-40.252205
10.520240,-29.458889,-40.342135
10.439541,-29.501296,-40.432431
10.191727,-29.542816,-40.523084
10.142719,-29.583444,-40.614127
10.112281,-29.623160,-40.705528
10.137407,-29.661947,-40.797249
9.987782,-29.699799,-40.889276
10.065621,-29.736725,-40.981646
10.224579,-29.772706,-41.074293
10.011846,-29.807730,-41.167156
9.846110,-29.841804,-41.260285
9.734692,-29.874908,-41.353659
9.613504,-29.907006,-41.447205
9.205326,-29.938086,-41.540933
9.195751,-29.968151,-41.634935
9.155542,-29.997181,-41.729177
9.056376,-30.025170,-41.823648
9.137883,-30.052128,-41.918401
9.186573,-30.078066,-42.013452
9.536100,-30.103003,-42.108831
9.759771,-30.126957,-42.204490
10.029646,-30.149963,-42.300475
10.721296,-30.172070,-42.396857
11.320561,-30.193314,-42.493574
11.848086,-30.213734,-42.590597
12.439085,-30.233382,-42.687992
13.479852,-30.252304,-42.785796
13.796375,-30.270516,-42.883851
14.595639,-30.288042,-42.982148
15.442332,-30.304922,-43.080724
16.386255,-30.321190,-43.179571
16.819328,-30.336868,-43.278639
18.054530,-30.351969,-43.377863
19.383318,-30.366533,-43.477269
20.098379,-30.380598,-43.576893
21.640947,-30.394174,-43.676642
23.573753,-30.407289,-43.776474
24.158540,-30.419977,-43.876398
24.619312,-30.432261,-43.976472
25.257044,-30.444130,-44.076559
25.014083,-30.455591,-44.176635
23.271673,-30.466639,-44.276699
22.078342,-30.477249,-44.376760
20.451938,-30.487391,-44.476761
18.200979,-30.497020,-44.576631
16.288820,-30.506090,-44.676457
14.487730,-30.514531,-44.776192
12.967747,-30.522264,-44.875737
11.579797,-30.529217,-44.975154
10.564204,-30.535307,-45.074490
9.766980,-30.540452,-45.173660
9.465194,-30.544587,-45.272620
9.026592,-30.547681,-45.371554
8.793052,-30.549692,-45.470407
8.642458,-30.550592,-45.569131
8.673551,-30.550369,-45.667766
8.738958,-30.549025,-45.766354
8.913887,-30.546574,-45.864867
9.119782,-30.543035,-45.963308
9.620786,-30.538439,-46.061707
10.302598,-30.532837,-46.160044
11.259571,-30.526298,-46.258323
12.094643,-30.518887,-46.356654
13.403224,-30.510678,-46.454920
14.508148,-30.501743,-46.553112
15.725915,-30.492129,-46.651358
16.248746,-30.481882,-46.749640
17.201309,-30.471038,-46.847874
17.811202,-30.459618,-46.946126
17.574762,-30.447633,-47.044430
17.489575,-30.435085,-47.142746
17.084690,-30.421970,-47.241046
16.127576,-30.408266,-47.339377
15.702907,-30.393938,-47.437770
15.222626,-30.378981,-47.536106
14.567570,-30.363366,-47.634424
14.581318,-30.347062,-47.732773
14.154221,-30.330077,-47.831039
13.562533,-30.312388,-47.929236
13.290138,-30.293958,-48.027414
13.015993,-30.274778,-48.125517
12.450194,-30.254835,-48.223500
11.823017,-30.234083,-48.321418
11.697526,-30.212478,-48.419291
11.039939,-30.190026,-48.516987
10.525762,-30.166666,-48.614569
9.867547,-30.142332,-48.712086
9.459693,-30.116990,-48.809422
9.106634,-30.090591,-48.906571
8.547810,-30.063069,-49.003575
8.493994,-30.034386,-49.100350
8.327041,-30.004533,-49.196838
8.157090,-29.973485,-49.293038
8.117501,-29.941229,-49.388908
8.150573,-29.907764,-49.484423
8.254617,-29.873116,-49.579519
8.318110,-29.837297,-49.674199
8.372872,-29.800337,-49.768415
8.727130,-29.762279,-49.862103
8.721725,-29.723143,-49.955313
8.744129,-29.682963,-50.047987
9.039782,-29.641782,-50.140059
9.138993,-29.599599,-50.231603
9.231241,-29.556445,-50.322605
9.509775,-29.512365,-50.413008
9.791476,-29.467379,-50.502844
10.009533,-29.421500,-50.592159
10.259383,-29.374778,-50.680917
10.986795,-29.327265,-50.769091
11.284988,-29.278970,-50.856778
11.889368,-29.229932,-50.943983
12.924744,-29.180218,-51.030683
14.374551,-29.129878,-51.116925
15.995234,-29.078968,-51.202766
17.789744,-29.027542,-51.288255
20.407578,-28.975677,-51.373393
22.463098,-28.923402,-51.458259
24.611646,-28.870755,-51.542884
26.443220,-28.817763,-51.627295
28.435651,-28.764446,-51.711518
29.208814,-28.710790,-51.795617
29.583613,-28.656829,-51.879557
29.327552,-28.602554,-51.963362
28.217644,-28.547932,-52.047073
28.018205,-28.492927,-52.130724
25.487395,-28.437596,-52.214210
22.718378,-28.381872,-52.297572
20.008288,-28.325669,-52.380846
20.107842,-28.268936,-52.464020
18.100929,-28.211765,-52.546925
17.020704,-28.154086,-52.629584
15.544664,-28.095843,-52.712000
15.768195,-28.036977,-52.794179
14.605417,-27.977573,-52.875979
13.764793,-27.917586,-52.957392
12.944857,-27.856989,-53.038380
12.288298,-27.795734,-53.118927
11.671756,-27.733791,-53.199002
10.921620,-27.671139,-53.278553
10.574229,-27.607770,-53.357505
10.441887,-27.543667,-53.435830
10.237185,-27.478832,-53.513499
10.422604,-27.413232,-53.590534
10.727950,-27.346921,-53.666892
11.052419,-27.279973,-53.742533
11.657201,-27.212469,-53.817418
12.136475,-27.144378,-53.891650
12.900908,-27.075719,-53.965269
13.657601,-27.006602,-54.038230
15.538559,-26.937128,-54.110507
16.343110,-26.867264,-54.182243
17.985334,-26.797051,-54.253467
19.552323,-26.726613,-54.324127
22.029934,-26.656025,-54.394222
21.901311,-26.585181,-54.463926
22.065278,-26.514099,-54.533232
21.239905,-26.442823,-54.602101
20.796502,-26.371376,-54.670496
19.236371,-26.299622,-54.738527
18.122787,-26.227542,-54.806168
17.038968,-26.155115,-54.873396
16.411375,-26.082309,-54.940196
15.881409,-26.009107,-55.006553
15.234051,-25.935482,-55.072462
14.656672,-25.861381,-55.137936
14.502267,-25.786748,-55.202991
14.126739,-25.711575,-55.267617
13.793105,-25.635916,-55.331744
13.534084,-25.559695,-55.395410
13.712390,-25.482830,-55.458666
13.855508,-25.405295,-55.521533
13.826053,-25.327194,-55.583929
14.428626,-25.248539,-55.645849
15.143054,-25.169273,-55.707362
16.235097,-25.089353,-55.768539
16.569549,-25.008936,-55.829304
17.846740,-24.928070,-55.889645
19.145893,-24.846734,-55.949622
20.709351,-24.764916,-56.009290
22.296094,-24.682692,-56.068639
24.819636,-24.600165,-56.127640
27.891949,-24.517352,-56.186334
32.111136,-24.434283,-56.244759
37.896562,-24.350989,-56.302947
44.110313,-24.267542,-56.360909
50.385455,-24.183992,-56.418656
56.499611,-24.100385,-56.476193
60.381797,-24.016725,-56.533542
60.107522,-23.933017,-56.590715
57.630048,-23.849274,-56.647704
52.564945,-23.765541,-56.704470
47.657581,-23.681803,-56.761004
42.603545,-23.598044,-56.817292
37.692703,-23.514270,-56.873302
34.348220,-23.430470,-56.929007
31.318523,-23.346635,-56.984382
28.855864,-23.262715,-57.039428
25.826971,-23.178748,-57.094085
23.692467,-23.094703,-57.148333
22.962980,-23.010599,-57.202120
22.037055,-22.926325,-57.255501
21.536562,-22.841919,-57.308434
21.173812,-22.757386,-57.360904
21.760705,-22.672718,-57.412912
22.710109,-22.587899,-57.464483
23.858725,-22.502912,-57.515649
25.516566,-22.417791,-57.566416
28.184764,-22.332508,-57.616833
31.600984,-22.247099,-57.666921
35.235032,-22.161559,-57.716725
39.637055,-22.075901,-57.766277
44.964331,-21.990108,-57.815620
51.627563,-21.904173,-57.864793
58.928813,-21.818086,-57.913833
69.553073,-21.731855,-57.962764
83.764509,-21.645490,-58.011609
98.868890,-21.558983,-58.060397
108.010649,-21.472286,-58.109175
109.141619,-21.385379,-58.157964
109.536869,-21.298287,-58.206753
97.868028,-21.211076,-58.255502
84.600753,-21.123669,-58.304243
68.440943,-21.035979,-58.353003
62.046274,-20.947986,-58.401764
54.966417,-20.859799,-58.450446
47.879276,-20.771420,-58.499020
43.031125,-20.682773,-58.547500
37.815023,-20.593816,-58.595876
36.944109,-20.504526,-58.644129
33.494899,-20.415026,-58.692173
30.602321,-20.325306,-58.739986
27.755732,-20.235317,-58.787557
