x,y
-23.568749,-56.752737
-23.486448,-56.808892
-23.403862,-56.864809
-23.321002,-56.920473
-23.237859,-56.975867
-23.154422,-57.030979
-23.070654,-57.085820
-22.986584,-57.140368
-22.902227,-57.194608
-22.817587,-57.248526
-22.732645,-57.302134
-22.647387,-57.355443
-22.561872,-57.408432
-22.476127,-57.461092
-22.390154,-57.513436
-22.303957,-57.565476
-22.217546,-57.617227
-22.130954,-57.668692
-22.044209,-57.719875
-21.957328,-57.770784
-21.870316,-57.821435
-21.783179,-57.871839
-21.695934,-57.922000
-21.608598,-57.971919
-21.521173,-58.021607
-21.433662,-58.071071
-21.346091,-58.120308
-21.258479,-58.169308
-21.170791,-58.218092
-21.083015,-58.266669
-20.995166,-58.315030
-20.907260,-58.363160
-20.819308,-58.411047
-20.731249,-58.458723
-20.643089,-58.506181
-20.554833,-58.553413
-20.466486,-58.600412
-20.378033,-58.647189
-20.289462,-58.693750
-20.200770,-58.740095
-20.111956,-58.786224
-20.023014,-58.832141
-19.933927,-58.877857
-19.844713,-58.923367
-19.755368,-58.968674
-19.665883,-59.013788
-19.576247,-59.058719
-19.486459,-59.103472
-19.396542,-59.148047
-19.306507,-59.192452
-19.216346,-59.236700
-19.126065,-59.280797
-19.035672,-59.324746
-18.945166,-59.368556
-18.854566,-59.412227
-18.763867,-59.455768
-18.673086,-59.499173
-18.582222,-59.542447
-18.491270,-59.585596
-18.400230,-59.628621
-18.309113,-59.671518
-18.217927,-59.714281
-18.126670,-59.756911
-18.035335,-59.799405
-17.943920,-59.841762
-17.852432,-59.883969
-17.760867,-59.926021
-17.669223,-59.967915
-17.577499,-60.009646
-17.485708,-60.051205
-17.393847,-60.092592
-17.301915,-60.133807
-17.209923,-60.174847
-17.117871,-60.215718
-17.025761,-60.256423
-16.933611,-60.296962
-16.841430,-60.337337
-16.749227,-60.377554
-16.656978,-60.417637
-16.564707,-60.457587
-16.472440,-60.497404
-16.380203,-60.537087
-16.287958,-60.576670
-16.195700,-60.616167
-16.103448,-60.655579
-16.011220,-60.694906
-15.919030,-60.734150
-15.826837,-60.773336
-15.734634,-60.812473
-15.642430,-60.851560
-15.550232,-60.890601
-15.458046,-60.929594
-15.365857,-60.968549
-15.273657,-61.007471
-15.181445,-61.046363
-15.089222,-61.085224
-14.996984,-61.124056
-14.904731,-61.162860
-14.812461,-61.201635
-14.720167,-61.240381
-14.627842,-61.279100
-14.535477,-61.317794
-14.443064,-61.356464
-14.350631,-61.395095
-14.258172,-61.433688
-14.165685,-61.472244
-14.073165,-61.510765
-13.980612,-61.549251
-13.888040,-61.587695
-13.795449,-61.626098
-13.702836,-61.664460
-13.610204,-61.702782
-13.517552,-61.741065
-13.424877,-61.779311
-13.332190,-61.817516
-13.239495,-61.855682
-13.146793,-61.893808
-13.054090,-61.931895
-12.961361,-61.969955
-12.868619,-62.007984
-12.775882,-62.045978
-12.683153,-62.083936
-12.590434,-62.121859
-12.497693,-62.159760
-12.404907,-62.197647
-12.312119,-62.235504
-12.219326,-62.273329
-12.126524,-62.311124
-12.033705,-62.348889
-11.940840,-62.386637
-11.847936,-62.424364
-11.755024,-62.462056
-11.662104,-62.499713
-11.569176,-62.537335
-11.476232,-62.574924
-11.383269,-62.612480
-11.290290,-62.650003
-11.197295,-62.687491
-11.104288,-62.724943
-11.011270,-62.762358
-10.918255,-62.799731
-10.825247,-62.837059
-10.732241,-62.874345
-10.639218,-62.911597
-10.546186,-62.948813
-10.453165,-62.985988
-10.360176,-63.023115
-10.267233,-63.060192
-10.174316,-63.097229
-10.081395,-63.134240
-9.988483,-63.171225
-9.895601,-63.208178
-9.802755,-63.245099
-9.709952,-63.281990
-9.617145,-63.318872
-9.524337,-63.355748
-9.431529,-63.392622
-9.338719,-63.429497
-9.245902,-63.466377
-9.153084,-63.503265
-9.060260,-63.540165
-8.967418,-63.577086
-8.874537,-63.614036
-8.781603,-63.651027
-8.688636,-63.688049
-8.595659,-63.725095
-8.502650,-63.762176
-8.409583,-63.799303
-8.316432,-63.836487
-8.223177,-63.873738
-8.129906,-63.911017
-8.036622,-63.948325
-7.943310,-63.985665
-7.849959,-64.023043
-7.756557,-64.060464
-7.663094,-64.097929
-7.569606,-64.135423
-7.476113,-64.172936
-7.382613,-64.210467
-7.289102,-64.248016
-7.195576,-64.285584
-7.102033,-64.323169
-7.008471,-64.360770
-6.914909,-64.398379
-6.821354,-64.435990
-6.727811,-64.473601
-6.634288,-64.511209
-6.540793,-64.548809
-6.447339,-64.586395
-6.353911,-64.623974
-6.260501,-64.661549
-6.167127,-64.699114
-6.073806,-64.736660
-5.980556,-64.774183
-5.887381,-64.811683
-5.794284,-64.849160
-5.701212,-64.886639
-5.608184,-64.924115
-5.515218,-64.961583
-5.422334,-64.999042
-5.329502,-65.036505
-5.236738,-65.073972
-5.144014,-65.111459
-5.051341,-65.148966
-4.958729,-65.186493
-4.866179,-65.224046
-4.773662,-65.261637
-4.681183,-65.299272
-4.588730,-65.336958
-4.496303,-65.374700
-4.403900,-65.412504
-4.311516,-65.450376
-4.219144,-65.488323
-4.126783,-65.526351
-4.034435,-65.564461
-3.942090,-65.602660
-3.849737,-65.640957
-3.757373,-65.679355
-3.665012,-65.717849
-3.572653,-65.756441
-3.480294,-65.795131
-3.387917,-65.833924
-3.295506,-65.872827
-3.203077,-65.911831
-3.110656,-65.950925
-3.018235,-65.990109
-2.925810,-66.029381
-2.833371,-66.068743
-2.740910,-66.108195
-2.648476,-66.147714
-2.556068,-66.187298
-2.463685,-66.226943
-2.371331,-66.266643
-2.279014,-66.306393
-2.186731,-66.346190
-2.094492,-66.386026
-2.002311,-66.425891
-1.910199,-66.465778
-1.818168,-66.505679
-1.726198,-66.545601
-1.634268,-66.585549
-1.542398,-66.625515
-1.450613,-66.665485
-1.358934,-66.705449
-1.267381,-66.745399
-1.175861,-66.785373
-1.084369,-66.825372
-0.992916,-66.865392
-0.901509,-66.905429
-0.810164,-66.945477
-0.718894,-66.985531
-0.627655,-67.025609
-0.536421,-67.065724
-0.445191,-67.105876
-0.353962,-67.146068
-0.262743,-67.186297
-0.171548,-67.226558
-0.080369,-67.266855
0.010816,-67.307201
0.102018,-67.347600
0.193246,-67.388060
0.284505,-67.428582
0.375770,-67.469158
0.467056,-67.509795
0.558359,-67.550494
0.649669,-67.591253
0.741002,-67.632080
0.832374,-67.672984
0.923778,-67.713963
1.015220,-67.755020
1.106712,-67.796162
1.198193,-67.837363
1.289674,-67.878630
1.381164,-67.919966
1.472671,-67.961374
1.564191,-68.002852
1.655732,-68.044402
1.747255,-68.086007
1.838762,-68.127666
1.930256,-68.169379
2.021739,-68.211144
2.113213,-68.252959
2.204678,-68.294823
2.296122,-68.336725
2.387541,-68.378661
2.478934,-68.420627
2.570296,-68.462616
2.661622,-68.504622
2.752924,-68.546644
2.844211,-68.588684
2.935478,-68.630734
3.026721,-68.672790
3.117936,-68.714845
3.209119,-68.756894
3.300283,-68.798942
3.391442,-68.840990
3.482594,-68.883038
3.573737,-68.925080
3.664870,-68.967117
3.755991,-69.009144
3.847107,-69.051165
3.938225,-69.093180
4.029343,-69.135191
4.120464,-69.177196
4.211588,-69.219196
4.302715,-69.261191
4.393849,-69.303184
4.484988,-69.345174
4.576132,-69.387162
4.667285,-69.429151
4.758447,-69.471142
4.849621,-69.513139
4.940804,-69.555140
5.031990,-69.597144
5.123178,-69.639151
5.214367,-69.681163
5.305558,-69.723179
5.396748,-69.765200
5.487937,-69.807225
5.579121,-69.849254
5.670299,-69.891285
5.761469,-69.933318
5.852626,-69.975352
5.943766,-70.017383
6.034894,-70.059414
6.126014,-70.101446
6.217118,-70.143475
6.308204,-70.185499
6.399268,-70.227516
6.490302,-70.269521
6.581313,-70.311517
6.672313,-70.353507
6.763295,-70.395488
6.854250,-70.437455
6.945177,-70.479406
7.036069,-70.521338
7.126929,-70.563250
7.217784,-70.605157
7.308629,-70.647054
7.399460,-70.688941
7.490273,-70.730815
7.581066,-70.772676
7.671835,-70.814522
7.762598,-70.856363
7.853358,-70.898200
7.944114,-70.940034
8.034864,-70.981865
8.125605,-71.023693
8.216335,-71.065518
8.307056,-71.107342
8.397778,-71.149172
8.488500,-71.191009
8.579223,-71.232856
8.669945,-71.274713
8.760665,-71.316581
8.851385,-71.358465
8.942103,-71.400365
9.032819,-71.442285
9.123536,-71.484228
9.214253,-71.526195
9.304968,-71.568189
9.395679,-71.610212
9.486388,-71.652265
9.577084,-71.694349
9.667768,-71.736465
9.758437,-71.778615
9.849091,-71.820802
9.939730,-71.863029
10.030354,-71.905298
10.120957,-71.947611
10.211534,-71.989968
10.302083,-72.032371
10.392600,-72.074821
10.483089,-72.117324
10.573550,-72.159882
10.663977,-72.202498
10.754367,-72.245172
10.844715,-72.287907
10.935015,-72.330702
11.025268,-72.373562
11.115479,-72.416493
11.205645,-72.459497
11.295761,-72.502573
11.385824,-72.545723
11.475832,-72.588947
11.565780,-72.632244
11.655679,-72.675621
11.745530,-72.719080
11.835327,-72.762619
11.925070,-72.806237
12.014757,-72.849933
12.104385,-72.893704
12.193960,-72.937553
12.283491,-72.981484
12.372975,-73.025491
12.462410,-73.069573
12.551794,-73.113725
12.641124,-73.157944
12.730406,-73.202226
12.819653,-73.246577
12.908864,-73.290991
12.998040,-73.335463
13.087177,-73.379985
13.176273,-73.424552
13.265332,-73.469162
13.354372,-73.513818
13.443394,-73.558519
13.532399,-73.603262
13.621391,-73.648046
13.710366,-73.692868
13.799326,-73.737726
13.888274,-73.782622
13.977212,-73.827555
14.066146,-73.872529
14.155081,-73.917545
14.244020,-73.962608
14.332964,-74.007717
14.421894,-74.052866
14.510817,-74.098061
14.599739,-74.143306
14.688668,-74.188607
14.777610,-74.233973
14.866574,-74.279412
14.955519,-74.324904
15.044450,-74.370458
15.133375,-74.416081
15.222301,-74.461780
15.311234,-74.507562
15.400183,-74.553433
15.489125,-74.599382
15.578038,-74.645398
15.666925,-74.691482
15.755789,-74.737637
15.844635,-74.783863
15.933463,-74.830161
16.022282,-74.876532
16.111076,-74.922965
16.199841,-74.969457
16.288577,-75.016003
16.377287,-75.062601
16.465971,-75.109249
16.554629,-75.155940
16.643259,-75.202670
16.731870,-75.249436
16.820461,-75.296234
16.909031,-75.343056
16.997579,-75.389895
17.086105,-75.436742
17.174598,-75.483586
17.263058,-75.530417
17.351519,-75.577244
17.439980,-75.624058
17.528438,-75.670850
17.616892,-75.717610
17.705336,-75.764329
17.793756,-75.810992
17.882174,-75.857603
17.970615,-75.904172
18.059077,-75.950692
18.147559,-75.997159
18.236056,-76.043568
18.324551,-76.089909
18.413043,-76.136180
18.501567,-76.182398
18.590120,-76.228563
18.678697,-76.274676
18.767295,-76.320737
18.855901,-76.366744
18.944502,-76.412695
19.033127,-76.458611
19.121771,-76.504498
19.210430,-76.550362
19.299100,-76.596210
19.387770,-76.642047
19.476423,-76.687876
19.565076,-76.733716
19.653725,-76.779575
19.742367,-76.825462
19.830998,-76.871385
19.919612,-76.917348
20.008194,-76.963351
20.096750,-77.009403
20.185277,-77.055508
20.273773,-77.101667
20.362234,-77.147881
20.450657,-77.194149
20.539046,-77.240471
20.627400,-77.286847
20.715717,-77.333271
20.803994,-77.379739
20.892228,-77.426242
20.980421,-77.472776
21.068593,-77.519341
21.156742,-77.565927
21.244865,-77.612523
21.332961,-77.659117
21.421025,-77.705695
21.509051,-77.752245
21.597079,-77.798776
21.685104,-77.845276
21.773117,-77.891733
21.861112,-77.938133
21.949081,-77.984466
22.037018,-78.030723
22.124951,-78.076914
22.212900,-78.123048
22.300856,-78.169116
22.388812,-78.215115
22.476759,-78.261039
22.564703,-78.306893
22.652644,-78.352678
22.740593,-78.398404
22.828544,-78.444074
22.916490,-78.489687
23.004419,-78.535245
23.092360,-78.580771
23.180304,-78.626269
23.268242,-78.671742
23.356158,-78.717191
23.444046,-78.762620
23.531925,-78.808048
23.619808,-78.853490
23.707693,-78.898954
23.795580,-78.944446
23.883465,-78.989974
23.971323,-79.035530
24.059170,-79.081132
24.147010,-79.126785
24.234850,-79.172498
24.322694,-79.218277
24.410551,-79.264128
24.498409,-79.310047
24.586249,-79.356025
24.674082,-79.402066
24.761917,-79.448173
24.849767,-79.494349
24.937628,-79.540590
25.025507,-79.586896
25.113374,-79.633250
25.201237,-79.679654
25.289104,-79.726108
25.376974,-79.772610
25.464851,-79.819159
25.552741,-79.865755
25.640613,-79.912380
25.728472,-79.959032
25.816326,-80.005715
25.904177,-80.052425
25.992027,-80.099160
26.079873,-80.145917
26.167691,-80.192682
26.255492,-80.239463
26.343282,-80.286264
26.431053,-80.333084
26.518797,-80.379924
